,target,spark.executor.cores,spark.executor.instances,spark.executor.memory
1,209.646,3.0,6.0,6.0
2,300.603,1.0,8.0,3.0
3,210.803,2.0,8.0,4.0
4,207.942,2.0,8.0,5.0
5,220.532,2.0,8.0,5.0
6,216.546,2.0,8.0,5.0
7,463.057,1.0,5.0,3.0
8,261.291,3.0,4.0,6.0
9,217.651,2.0,8.0,4.0
10,218.302,2.0,8.0,5.0
11,211.907,2.0,8.0,5.0
12,215.583,2.0,8.0,5.0
13,208.52161642793868,3.573892788471977,8.0,4.506880092222579
14,286.95316216519257,3.1900000000000004,7.226281829559869,6.62
15,276.2914523300774,2.738594309169911,7.978990559279998,4.275903119224895
16,276.2914523300774,1.9664752995125798,7.983963511116604,4.026302538741793
17,276.2914523300774,2.3925587751349546,7.699280400307675,4.27886534307607
18,286.95316216519257,1.9535396719311227,7.425065423248529,4.940292965682348
19,276.2914523300774,2.640067817805143,7.698489046117667,4.943983091376577
20,276.2914523300774,1.985748814606057,7.8717056700313695,5.824893016247426
21,276.2914523300774,1.7979124653919607,7.8280876020492505,5.553177052128096
22,276.2914523300774,2.363647829129595,7.816369198532728,5.57458151604348
23,276.2914523300774,2.1633075891916835,7.733774242141029,4.853399196487797
24,276.2914523300774,1.701879766483907,7.5438787136993035,4.793072138951368
25,276.2914523300774,1.8312079058739974,7.887596048845176,4.559617216308467
26,276.2914523300774,2.295309552272697,7.978513484975744,4.7978894168438275
27,276.2914523300774,2.059408692449676,7.657180367349116,4.684391550499185
