,target,spark.executor.cores,spark.executor.instances,spark.executor.memory
1,209.646,3.0,6.0,6.0
2,300.603,1.0,8.0,3.0
3,210.803,2.0,8.0,4.0
4,207.942,2.0,8.0,5.0
5,220.532,2.0,8.0,5.0
6,216.546,2.0,8.0,5.0
7,463.057,1.0,5.0,3.0
8,261.291,3.0,4.0,6.0
9,217.651,2.0,8.0,4.0
10,218.302,2.0,8.0,5.0
11,211.907,2.0,8.0,5.0
12,215.583,2.0,8.0,5.0
13,458.204,1.0,5.0,3.0
14,355.582,1.0,7.0,3.0
15,238.41,2.0,7.0,5.0
16,202.15,2.0,8.0,5.0
17,213.448,2.0,8.0,5.0
18,218.702,2.0,8.0,5.0
19,249.5,3.0,4.0,6.0
20,210.039,3.0,6.0,7.0
21,382.999,1.0,6.0,3.0
22,212.629,2.0,8.0,5.0
23,216.353,2.0,8.0,5.0
24,214.035,2.0,8.0,5.0
25,515.218,1.0,4.0,3.0
26,299.594,2.0,5.0,4.0
27,332.861,2.0,4.0,5.0
28,232.895,3.0,6.0,7.0
29,224.474,3.0,6.0,7.0
30,211.437,3.0,6.0,7.0
31,213.37350000000004,3.901464653406067,8.0,4.278913934756272
32,226.08257142857147,3.1900000000000004,6.48,4.324482498274644
33,210.6008,3.071,8.0,6.458
34,211.62390909090908,2.915490367672785,8.0,4.627225041243615
35,216.31071428571425,1.1324899999999998,8.0,6.18098
36,213.51175,2.780759,8.0,3.937118
37,211.62390909090908,2.2733881518503387,8.0,5.9565938
38,226.49933333333334,2.6324147900000003,7.1922096799999995,5.86093442
39,222.48284615384617,1.4308266889999999,8.0,4.683986368717814
40,213.57157142857142,2.3375137222668023,8.0,4.40128792048737
41,211.62390909090908,1.5389696180899999,8.0,5.62762119218
42,211.8116,2.4149273437190004,8.0,5.478442357431575
43,211.62390909090908,1.6265653906528998,7.5230078939432,5.5083731656658
44,211.8116,2.0093727518329154,7.7266655353433,5.45753584909922
45,211.8116,2.2879204718907813,7.6378277358449,4.590072140255293
