,target,spark.executor.instances,spark.executor.memory
1,209.646,6.0,6.0
2,300.603,8.0,3.0
3,210.803,8.0,4.0
4,207.942,8.0,5.0
5,220.532,8.0,5.0
6,216.546,8.0,5.0
7,463.057,5.0,3.0
8,261.291,4.0,6.0
9,217.651,8.0,4.0
10,218.302,8.0,5.0
11,211.907,8.0,5.0
12,215.583,8.0,5.0
13,458.204,5.0,3.0
14,355.582,7.0,3.0
15,238.41,7.0,5.0
16,202.15,8.0,5.0
17,213.448,8.0,5.0
18,218.702,8.0,5.0
19,249.5,4.0,6.0
20,210.039,6.0,7.0
21,382.999,6.0,3.0
22,212.629,8.0,5.0
23,216.353,8.0,5.0
24,214.035,8.0,5.0
25,515.218,4.0,3.0
26,299.594,5.0,4.0
27,332.861,4.0,5.0
28,232.895,6.0,7.0
29,224.474,6.0,7.0
30,211.437,6.0,7.0
31,255.48056030273438,4.779999929514135,7.0
32,214.00880432128906,8.0,6.62
33,211.21841430664062,6.935155301967448,6.458
34,214.00880432128906,8.0,5.925692571493503
35,214.22647094726562,8.0,4.439639890125499
36,211.21841430664062,7.338870127328077,5.966303254596866
37,214.00880432128906,7.676312510416236,5.509073162475495
38,214.22647094726562,7.545122157906319,4.227708977953956
39,214.00880432128906,7.646558106214758,4.763434891513805
40,214.00880432128906,8.0,5.472856486471373
41,238.2283172607422,7.411241605362574,4.471466893047866
42,214.00880432128906,7.657111552549305,5.131578700783957
43,214.22647094726562,7.78463262404689,4.4916268343342
44,214.00880432128906,7.8766800582727985,4.782492102213918
45,214.00880432128906,7.875859872645094,5.240055499495373
