,target,spark.executor.cores,spark.executor.instances,spark.executor.memory
1,252.154,2.0,6.0,4.0
2,190.243,3.0,8.0,6.0
3,254.225,2.0,6.0,4.0
4,187.626,3.0,7.0,6.0
5,274.999,3.0,4.0,7.0
6,212.804,3.0,6.0,5.0
7,434.403,1.0,6.0,3.0
8,191.337,3.0,7.0,5.0
9,290.366,2.0,5.0,4.0
10,225.005,3.0,6.0,5.0
11,211.6,3.0,6.0,6.0
12,215.281,3.0,6.0,5.0
13,186.093,3.0,7.0,6.0
14,189.006,3.0,7.0,5.0
15,441.321,1.0,6.0,3.0
16,219.891,3.0,7.0,6.0
17,242.963,3.0,7.0,6.0
18,161.268,4.0,7.0,7.0
19,218.24,2.0,8.0,4.0
20,187.051,4.0,7.0,7.0
21,340.709,1.0,8.0,3.0
22,187.873,4.0,6.0,6.0
23,241.35890909090912,4.0,8.0,4.418817809002487
24,241.35890909090912,4.0,8.0,7.0
25,251.62976923076923,4.0,6.154755753404053,7.0
26,255.46800000000007,4.0,7.005395292327902,6.05327469530722
27,263.14625,3.2499435715043092,7.185837845010442,7.0
28,241.35890909090912,3.634586056631294,8.0,6.002727999999999
29,255.46800000000007,4.0,7.303432226542744,7.0
30,241.35890909090912,3.6902524319541614,7.569333293617434,6.983091687128422
31,255.46800000000007,3.6305725361373256,7.395791310917531,6.896009516257625
32,255.46800000000007,4.0,6.77229553993116,7.0
33,255.46800000000007,3.8573932841601337,7.058283799521337,6.636784742761683
34,255.46800000000007,3.6584562025008376,6.6051745989937185,6.637927117377728
35,255.46800000000007,3.7402779655633034,7.26047973676515,6.554904616350881
36,255.46800000000007,3.9804659581515756,7.399027755711905,6.690536241657965
37,255.46800000000007,3.883569912235932,6.6908797465451695,6.658754973824391
