,target,spark.default.parallelism,spark.executor.cores,spark.executor.instances
1,397.267,280.0,1.0,7.0
2,218.759,282.0,3.0,7.0
3,274.356,409.0,2.0,6.0
4,185.528,347.0,3.0,7.0
5,222.671,439.0,3.0,7.0
6,268.936,325.0,3.0,6.0
7,280.262,308.0,3.0,5.0
8,180.737,401.0,3.0,7.0
9,242.835,364.0,3.0,5.0
10,192.778,432.0,3.0,7.0
11,313.351,389.0,2.0,5.0
12,184.96,399.0,3.0,7.0
13,200.646,462.0,3.0,8.0
14,266.492,467.0,2.0,6.0
15,353.454,482.0,2.0,4.0
16,220.545,386.0,3.0,7.0
17,636.02,294.0,1.0,4.0
18,161.869,485.0,4.0,8.0
19,270.492,410.0,2.0,7.0
20,160.02,410.0,4.0,7.0
21,185.006,471.0,3.0,7.0
22,182.159,432.0,4.0,6.0
23,272.71718999999973,488.4326821377484,4.0,8.0
24,273.7168899999999,413.214759017533,4.0,6.252156490451192
25,261.5956799999998,406.9597409828139,4.0,8.0
26,273.6315699999999,435.12696017423883,3.973373035602817,5.930750561360038
27,275.72148999999996,429.0931935047986,3.901135564996267,6.193425091180828
28,272.71718999999973,482.48047935701345,3.8981801457815988,7.946390052899202
29,272.71718999999973,473.2759137958844,4.0,7.9270693
30,243.62749999999977,349.48738759761846,3.396629930842142,7.218478705204038
31,274.48336999999975,459.25296501358565,3.609104456774922,7.750926133
32,278.40291,396.60633053204367,4.0,6.3241664803
33,276.06728000000004,403.13320742839926,3.857004082416424,6.472622498006024
34,281.5112028333332,383.2909404547411,3.902682177517539,7.547425150957
35,270.2411849999998,400.18057408086906,3.9760970188897775,7.47974718486238
36,264.76292999999976,411.13048129913255,4.0,7.44341437227517
37,264.80129999999974,408.95785185414144,3.9499606969300056,7.01740054040515
