,target,spark.broadcast.compress,spark.default.parallelism,spark.executor.instances,spark.executor.memory,spark.kryoserializer.buffer
1,397.267,1.0,280.0,7.0,3.0,48.0
2,218.759,0.0,282.0,7.0,7.0,67.0
3,274.356,0.0,409.0,6.0,4.0,65.0
4,185.528,0.0,347.0,7.0,5.0,75.0
5,222.671,0.0,439.0,7.0,6.0,73.0
6,268.936,0.0,325.0,6.0,5.0,72.0
7,280.262,0.0,308.0,5.0,7.0,33.0
8,180.737,0.0,401.0,7.0,5.0,90.0
9,242.835,0.0,364.0,5.0,6.0,120.0
10,192.778,0.0,432.0,7.0,5.0,84.0
11,313.351,0.0,389.0,5.0,4.0,60.0
12,184.96,0.0,399.0,7.0,5.0,81.0
13,200.646,0.0,462.0,8.0,7.0,69.0
14,266.492,0.0,467.0,6.0,5.0,88.0
15,353.454,1.0,482.0,4.0,4.0,123.0
16,220.545,0.0,386.0,7.0,6.0,119.0
17,636.02,1.0,294.0,4.0,3.0,110.0
18,161.869,0.0,485.0,8.0,7.0,128.0
19,270.492,1.0,410.0,7.0,5.0,117.0
20,160.02,0.0,410.0,7.0,7.0,124.0
21,185.006,1.0,471.0,7.0,6.0,108.0
22,182.159,0.0,432.0,6.0,6.0,100.0
23,256.8077697753906,0.41545497543417365,438.512942664565,7.4396923641610755,6.075139698661545,72.5751697420003
24,256.8077697753906,0.1474930435207943,413.24882812816384,6.837284412811092,6.8967514983530425,125.86715998025701
25,256.8077697753906,0.18981026202804205,406.50569032890803,6.6860452263887735,6.68891368549728,124.45800757500277
26,256.8077697753906,0.026876546771894133,487.4535733160754,7.802738508469685,6.2003000548278555,126.39497047169526
27,256.8077697753906,0.18349884184468476,411.52120868700285,6.350943684552469,6.808994433206161,121.67708403759023
28,256.8077697753906,0.20571784068048043,482.18528821532254,7.904521476785765,6.114294736576083,127.70473639209855
29,256.8077697753906,0.0,432.5316823061425,7.811074002657217,6.943870456345747,102.59952081520814
30,256.8077697753906,0.16232102818375235,409.1631695107901,7.425833275291476,6.770865998937661,127.00422183906952
31,256.8077697753906,0.10911048283735296,466.539675260571,7.584309800978371,6.520328902216835,108.80359772926417
32,256.8077697753906,0.11496469329816902,381.8957028281652,7.58577008608524,6.64425972916048,118.66098474167214
33,256.8077697753906,0.0,390.0586613575288,6.421238500423847,6.41112085672,119.32990630709583
34,256.8077697753906,0.048368071141537586,408.27949931177983,7.410716457654481,6.805944210836899,121.28697524348664
35,256.8077697753906,0.0,385.6506456581315,7.251959852186646,6.5230078939432,123.44234402470587
36,256.8077697753906,0.08043066062661622,386.27341625659545,7.25167440400696,6.613114829828301,114.81176822439667
37,256.8077697753906,0.023011959634171963,440.0669756857045,6.601279750545727,6.794152518160282,127.58948909033967
