,target,spark.executor.cores,spark.scheduler.revive.interval
1,252.154,2.0,548.0
2,397.267,1.0,744.0
3,190.243,3.0,604.0
4,218.759,3.0,521.0
5,254.225,2.0,636.0
6,274.356,2.0,948.0
7,187.626,3.0,603.0
8,185.528,3.0,626.0
9,246.81917463030135,4.0,590.3623379822785
10,246.81917463030135,3.72135955248302,619.7897999210315
11,246.81917463030135,3.9780485469991236,628.4325296005976
12,246.81917463030135,2.3116972263212467,624.4146461761094
13,246.81917463030135,3.8675100000000002,603.3832665344954
14,246.81917463030135,2.416877026945396,603.4854224479445
15,246.81917463030135,3.0771901968598327,603.5770972959771
16,246.81917463030135,3.139004153170477,603.6491850312273
17,246.81917463030135,3.1020794558998674,604.2323974695249
18,246.81917463030135,2.639827538951002,610.2294092037237
19,246.81917463030135,2.97928869384938,625.9997066003341
20,246.81917463030135,2.866558441101312,595.1849706480807
21,246.81917463030135,2.7691746152009205,647.3703162167703
22,246.81917463030135,3.2754418999603256,616.6934234598417
23,246.81917463030135,2.799198161042426,644.372436672117
