,target,spark.executor.cores,spark.scheduler.revive.interval
1,252.154,2.0,548.0
2,397.267,1.0,744.0
3,190.243,3.0,604.0
4,218.759,3.0,521.0
5,254.225,2.0,636.0
6,274.356,2.0,948.0
7,187.626,3.0,603.0
8,185.528,3.0,626.0
9,274.999,3.0,996.0
10,222.671,3.0,984.0
11,212.804,3.0,597.0
12,268.936,3.0,598.0
13,434.403,1.0,965.0
14,280.262,3.0,802.0
15,191.337,3.0,508.0
16,180.737,3.0,551.0
17,290.366,2.0,743.0
18,242.835,3.0,825.0
19,225.005,3.0,533.0
20,192.778,3.0,507.0
21,211.6,3.0,948.0
22,313.351,2.0,564.0
23,215.281,3.0,516.0
24,184.96,3.0,548.0
25,186.093,3.0,641.0
26,200.646,3.0,768.0
27,189.006,3.0,665.0
28,266.492,2.0,563.0
29,441.321,1.0,846.0
30,353.454,2.0,947.0
31,219.891,3.0,693.0
32,220.545,3.0,667.0
33,242.963,3.0,756.0
34,636.02,1.0,998.0
35,161.268,4.0,673.0
36,161.869,4.0,663.0
37,218.24,2.0,601.0
38,270.492,2.0,741.0
39,187.051,4.0,785.0
40,160.02,4.0,758.0
41,340.709,1.0,849.0
42,185.006,3.0,545.0
43,187.873,4.0,751.0
44,182.159,4.0,744.0
45,236.97993333333338,3.9604467964725005,950.3755623256939
46,187.5896111111111,3.8238101881999587,760.304478391535
47,224.68726666666663,2.9739999999999998,675.2469362823877
48,224.68726666666663,3.187340298778049,670.8404892984124
49,224.68726666666663,3.1689399999999996,660.5934564258471
50,187.5896111111111,3.8991257745648467,628.7025870673983
51,187.5896111111111,3.952745556482148,643.7725949739171
52,189.81239999999997,3.9999925618315553,782.0000616668266
53,187.5896111111111,3.995558107574236,748.0701580327195
54,187.5896111111111,3.6006571817663366,764.4265026368433
55,189.81239999999997,3.5583406425399997,788.271904948349
56,189.81239999999997,4.0,791.5902973461493
57,208.03781818181815,3.708871823863803,794.8765030069824
58,187.5896111111111,3.6780303284116598,778.5922121823586
59,187.5896111111111,3.7701180190258863,775.2532008817042
