,target,spark.executor.cores,spark.scheduler.revive.interval
1,252.154,2.0,548.0
2,397.267,1.0,744.0
3,190.243,3.0,604.0
4,218.759,3.0,521.0
5,254.225,2.0,636.0
6,274.356,2.0,948.0
7,187.626,3.0,603.0
8,185.528,3.0,626.0
9,274.999,3.0,996.0
10,222.671,3.0,984.0
11,212.804,3.0,597.0
12,268.936,3.0,598.0
13,434.403,1.0,965.0
14,280.262,3.0,802.0
15,191.337,3.0,508.0
16,180.737,3.0,551.0
17,290.366,2.0,743.0
18,242.835,3.0,825.0
19,225.005,3.0,533.0
20,192.778,3.0,507.0
21,211.6,3.0,948.0
22,313.351,2.0,564.0
23,215.281,3.0,516.0
24,184.96,3.0,548.0
25,186.093,3.0,641.0
26,200.646,3.0,768.0
27,189.006,3.0,665.0
28,266.492,2.0,563.0
29,441.321,1.0,846.0
30,353.454,2.0,947.0
31,219.891,3.0,693.0
32,220.545,3.0,667.0
33,242.963,3.0,756.0
34,636.02,1.0,998.0
35,161.268,4.0,673.0
36,161.869,4.0,663.0
37,218.24,2.0,601.0
38,270.492,2.0,741.0
39,187.051,4.0,785.0
40,160.02,4.0,758.0
41,340.709,1.0,849.0
42,185.006,3.0,545.0
43,187.873,4.0,751.0
44,182.159,4.0,744.0
45,246.81917463030135,3.9604467964725005,950.3755623256939
46,246.81917463030135,3.8238101881999587,760.304478391535
47,246.81917463030135,3.9552512158545543,670.6478217085589
48,246.81917463030135,3.7602121299640965,675.2772137805817
49,246.81917463030135,3.1689399999999996,660.845202319147
50,246.81917463030135,4.0,748.2707792614756
51,246.81917463030135,3.37232168730353,643.5491662906021
52,246.81917463030135,4.0,787.5673677169162
53,246.81917463030135,4.0,782.4699824653343
54,246.81917463030135,3.5092673806,770.7541176462834
55,246.81917463030135,4.0,765.4993648701925
56,246.81917463030135,3.9082392384638185,753.1086622802621
57,246.81917463030135,3.752698657681732,696.2470974663298
58,246.81917463030135,3.6780303284116598,815.0790093228101
59,246.81917463030135,3.990291838596854,717.7915019506189
