,target,spark.executor.cores,spark.scheduler.revive.interval
1,397.267,1.0,744.0
2,218.759,3.0,521.0
3,274.356,2.0,948.0
4,185.528,3.0,626.0
5,222.671,3.0,984.0
6,268.936,3.0,598.0
7,280.262,3.0,802.0
8,180.737,3.0,551.0
9,242.835,3.0,825.0
10,192.778,3.0,507.0
11,313.351,2.0,564.0
12,184.96,3.0,548.0
13,200.646,3.0,768.0
14,266.492,2.0,563.0
15,353.454,2.0,947.0
16,220.545,3.0,667.0
17,636.02,1.0,998.0
18,161.869,4.0,663.0
19,270.492,2.0,741.0
20,160.02,4.0,758.0
21,185.006,3.0,545.0
22,182.159,4.0,744.0
23,171.29599000000005,1.688216386738714,663.6283495634696
24,171.29599000000005,2.86,660.4863166807422
25,171.29599000000005,3.836617249466667,761.2459508655418
26,171.29599000000005,3.3005278854853506,754.34909528504
27,171.29599000000005,3.9509584486678615,750.0719110065934
28,171.29599000000005,3.684175812698043,630.3307767172438
29,171.29599000000005,4.0,655.9043769124733
30,171.29599000000005,3.3941572599999996,651.6393947668017
31,171.29599000000005,4.0,773.4540331029974
32,171.29599000000005,3.5092673806,777.7516951764607
33,171.29599000000005,4.0,782.361574337553
34,171.29599000000005,3.602506578286,786.9872066969982
35,171.29599000000005,4.0,791.6156314608132
36,171.29599000000005,3.9933318459217055,705.918069306971
37,171.29599000000005,3.9994978978771867,710.3602556350007
