spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
1.0,934.0,6.0,3.0,497.0,6.0,39.0,1.0,1.0,308.0,95.0,126.0,4.0,1334243554.0,0.79,0.61,0.0,1085153271.0,1768916002.0,53.0,0.0,744.0,0.0,46.0,4.0,244.0,4.0,209.646
1.0,1008.0,3.0,1.0,384.0,8.0,58.0,1.0,1.0,358.0,80.0,84.0,6.0,1660511439.0,0.54,0.6,0.0,1269014963.0,1902051975.0,46.0,0.0,512.0,0.0,33.0,5.0,220.0,2.0,300.603
1.0,535.0,4.0,2.0,445.0,8.0,48.0,0.0,0.0,360.0,93.0,118.0,5.0,1439489439.0,0.71,0.87,1.0,1364761151.0,1141528201.0,69.0,0.0,594.0,0.0,27.0,4.0,161.0,3.0,210.803
0.0,0.0,5.0,2.0,396.0,8.0,57.0,1.0,0.0,342.0,75.0,64.0,5.0,1620198784.0,0.63,0.6,0.0,1827248640.0,1675501952.0,54.0,1.0,767.0,0.0,20.0,4.0,212.0,2.0,207.942
0.0,0.0,5.0,2.0,384.0,8.0,58.0,1.0,0.0,346.0,74.0,61.0,5.0,1638957056.0,0.63,0.62,0.0,1814493696.0,1691712000.0,56.0,1.0,751.0,0.0,21.0,4.0,214.0,2.0,220.532
0.0,0.0,5.0,2.0,431.0,8.0,56.0,1.0,0.0,339.0,74.0,67.0,6.0,1611314176.0,0.64,0.63,0.0,1739004160.0,1668868992.0,54.0,1.0,759.0,0.0,21.0,4.0,219.0,2.0,216.546
1.0,777.0,3.0,1.0,384.0,5.0,41.0,1.0,1.0,281.0,75.0,32.0,10.0,1559216093.0,0.71,0.52,0.0,1625752830.0,1917350354.0,62.0,1.0,510.0,0.0,38.0,2.0,189.0,4.0,463.057
1.0,780.0,6.0,3.0,384.0,4.0,37.0,0.0,0.0,378.0,86.0,69.0,10.0,1936115172.0,0.73,0.68,1.0,1549516506.0,1226244979.0,52.0,0.0,953.0,1.0,19.0,2.0,205.0,4.0,261.291
1.0,858.0,4.0,2.0,384.0,8.0,44.0,0.0,0.0,415.0,120.0,107.0,10.0,2100041470.0,0.66,0.89,1.0,1363244891.0,1628542065.0,64.0,1.0,814.0,1.0,34.0,1.0,267.0,3.0,217.651
0.0,0.0,5.0,2.0,392.0,8.0,56.0,1.0,0.0,340.0,76.0,63.0,5.0,1582273152.0,0.64,0.6,0.0,1775949568.0,1646034688.0,54.0,0.0,765.0,0.0,21.0,4.0,221.0,2.0,218.302
0.0,0.0,5.0,2.0,442.0,8.0,56.0,1.0,0.0,344.0,74.0,66.0,5.0,1632619648.0,0.64,0.62,0.0,1863329920.0,1655123456.0,54.0,0.0,775.0,0.0,24.0,4.0,226.0,2.0,211.907
0.0,0.0,5.0,2.0,455.0,8.0,55.0,1.0,0.0,341.0,76.0,62.0,6.0,1609564288.0,0.63,0.63,0.0,1749739008.0,1681549056.0,53.0,0.0,747.0,0.0,24.0,4.0,223.0,2.0,215.583
0.0,0.0,3.0,1.0,384.0,5.0,64.0,1.0,1.0,441.0,32.0,93.0,5.0,1259224103.0,0.85,0.54,1.0,2104019338.0,1333797757.0,32.0,0.0,760.0,0.0,37.0,1.0,299.0,4.0,458.204
0.0,0.0,3.0,1.0,384.0,7.0,38.0,0.0,0.0,431.0,59.0,47.0,8.0,1535308076.0,0.54,0.76,0.0,1925973984.0,1458157745.0,64.0,1.0,904.0,1.0,36.0,5.0,207.0,2.0,355.582
0.0,0.0,5.0,2.0,545.0,7.0,34.0,0.0,0.0,267.0,95.0,100.0,4.0,1707870218.0,0.6,0.89,1.0,1515335152.0,1827440905.0,65.0,0.0,923.0,0.0,34.0,1.0,268.0,3.0,238.41
0.0,0.0,5.0,2.0,449.0,8.0,54.0,1.0,0.0,335.0,74.0,66.0,5.0,1621138176.0,0.65,0.63,0.0,1818634752.0,1646180096.0,52.0,1.0,772.0,0.0,24.0,4.0,232.0,2.0,202.15
0.0,0.0,5.0,2.0,459.0,8.0,55.0,1.0,0.0,348.0,75.0,70.0,5.0,1637781632.0,0.67,0.63,0.0,1823545344.0,1632220160.0,54.0,1.0,784.0,0.0,26.0,4.0,229.0,2.0,213.448
0.0,0.0,5.0,2.0,480.0,8.0,53.0,1.0,0.0,333.0,74.0,66.0,6.0,1632354048.0,0.66,0.62,0.0,1838151808.0,1617476736.0,52.0,1.0,759.0,0.0,27.0,4.0,234.0,2.0,218.702
