,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
1,397.267,43,1,1,280,1,7,3,384,48,110,7,1110271188,0.74,0,0,0.86,1,1242953129,2012887588,49,1,744,1,41,4,193,4
2,218.759,37,0,0,282,3,7,7,713,67,96,8,1418614656,0.75,1,819,0.78,1,1515846528,1737538304,63,1,521,0,28,4,312,1
3,274.356,45,0,0,409,2,6,4,384,65,96,9,2053930890,0.5,1,939,0.78,0,2021705510,1671675601,66,1,948,1,27,4,161,3
4,185.528,39,0,0,347,3,7,5,685,75,101,8,1407788032,0.72,1,787,0.76,1,1574112384,1829104384,58,0,626,0,26,4,299,1
5,222.671,39,1,0,439,3,7,6,541,73,46,9,1325988420,0.7,0,0,0.66,1,1690312122,1463139560,26,1,984,0,23,3,318,3
6,268.936,45,0,0,325,3,6,5,676,72,85,9,1356598400,0.67,1,758,0.77,1,1489143168,1832419840,62,1,598,0,23,4,276,1
7,280.262,33,1,0,308,3,5,7,620,33,36,7,1999483127,0.72,0,0,0.67,1,1831852654,1184705638,40,0,802,1,37,5,182,1
8,180.737,46,0,0,401,3,7,5,582,90,81,8,1510227584,0.7,1,767,0.75,1,1685803008,1911138432,52,0,551,0,20,3,255,1
9,242.835,46,1,0,364,3,5,6,525,120,56,6,1532724463,0.65,1,526,0.55,1,1760803282,2120726742,70,0,825,1,32,2,245,2
10,192.778,48,0,0,432,3,7,5,629,84,86,7,1522840704,0.72,1,770,0.73,1,1626704896,1970324480,57,1,507,0,21,3,261,1
11,313.351,55,1,0,389,2,5,4,384,60,47,6,1172908480,0.87,1,762,0.76,0,1119972262,1368876850,44,1,564,0,20,2,267,4
12,184.96,47,0,0,399,3,7,5,629,81,83,7,1526364416,0.78,1,772,0.72,1,1635678208,1916650624,48,0,548,0,24,3,269,1
13,200.646,43,0,0,462,3,8,7,498,69,56,7,1159077391,0.85,0,0,0.79,1,1617507531,2082799281,31,1,768,1,43,5,252,3
14,266.492,45,0,0,467,2,6,5,634,88,72,8,1456125056,0.77,1,794,0.69,1,1422791424,1806831232,51,1,563,0,27,3,237,1
15,353.454,45,0,1,482,2,4,4,470,123,45,6,1830815810,0.78,0,0,0.87,0,2007003932,1324746449,40,1,947,0,28,2,228,2
16,220.545,37,0,0,386,3,7,6,702,119,101,10,1655469696,0.61,1,680,0.84,1,1670121984,1500938752,63,0,667,0,26,3,183,3
17,636.02,37,1,1,294,1,4,3,384,110,34,7,1358240810,0.78,0,0,0.61,1,1380205874,1107713198,42,1,998,1,45,4,316,4
18,161.869,32,0,0,485,4,8,7,877,128,75,10,2085983360,0.58,1,806,0.9,1,1833982080,1073741824,72,1,663,0,20,3,208,4
19,270.492,47,0,1,410,2,7,5,394,117,117,8,1777213465,0.54,0,0,0.9,0,1087550251,1353488225,59,1,741,1,44,3,224,4
20,160.02,40,0,0,410,4,7,7,776,124,75,9,1816379392,0.53,1,617,0.79,1,1416449280,1303367552,59,0,758,0,25,3,158,4
21,185.006,53,0,1,471,3,7,6,527,108,80,6,1425586276,0.89,0,0,0.79,0,1241570684,1717482023,52,1,545,0,26,2,237,1
