,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
1,252.154,39,1,0,219,2,6,4,384,94,71,7,1850434413,0.57,1,860,0.67,0,1785591174,2008482403,64,0,548,0,24,1,298,2
2,397.267,43,1,1,280,1,7,3,384,48,110,7,1110271188,0.74,0,0,0.86,1,1242953129,2012887588,49,1,744,1,41,4,193,4
3,190.243,40,0,0,297,3,8,6,727,73,96,9,1492184320,0.74,1,769,0.75,1,1489542912,1815774592,60,1,604,0,29,4,295,1
4,218.759,37,0,0,282,3,7,7,713,67,96,8,1418614656,0.75,1,819,0.78,1,1515846528,1737538304,63,1,521,0,28,4,312,1
5,254.225,36,0,1,298,2,6,4,446,89,82,7,1923296948,0.53,0,0,0.71,0,1814180871,1189122009,69,0,636,0,33,3,159,2
6,274.356,45,0,0,409,2,6,4,384,65,96,9,2053930890,0.5,1,939,0.78,0,2021705510,1671675601,66,1,948,1,27,4,161,3
7,187.626,40,0,0,314,3,7,6,675,83,103,8,1390464896,0.68,1,756,0.79,1,1338915328,1926262912,56,0,603,0,24,4,309,1
8,185.528,39,0,0,347,3,7,5,685,75,101,8,1407788032,0.72,1,787,0.76,1,1574112384,1829104384,58,0,626,0,26,4,299,1
9,186.008,53.31937884,0.407692862,0.408721627,428.5731436,2.61681428,7.441458727,5.989917181,776.8217306,39.17993367,110.5901733,5.960609936,1820950994,0.581948713,0.317771678,790.1742286,0.64378785,0.178195136,1656231737,1205971684,28.47079051,0.742507504,595.6863888,0.8949256,47.34150835,3.024977379,251.3946669,1.390513689
10,167.805,49.43637022,0.140746993,0.060713541,316.0733759,3.317006811,6.989659466,4.231049521,824.4090218,104.698433,112.529415,7.259379319,1557784968,0.605574951,0.760688846,906.3698803,0.869597661,0.877848053,1301664440,1788728320,64.64393437,0.005224782,687.7700187,0.004179881,29.13791409,2.635380174,309.8691124,1.159069315
11,176.598,53.49250721,0.156140709,0.04068785,262.2895595,2.572593495,7.670176288,3.761616456,730.5532849,109.6494428,125.2379958,5.618647852,1209873418,0.738995243,0.718552665,811.26708,0.794686109,0.759498356,1159331468,1643466880,59.03898043,0.206230847,735.9882106,0.214099945,39.84559134,1.983040255,243.938365,1.683658778
12,178.214,54.12064255,0.024207138,0.187945145,300.128452,3.197030677,7.619096019,4.869938467,860.0445486,92.90730088,127.3395976,5.843401637,1576255467,0.687759766,0.857250016,1009.61868,0.778979698,0.778110307,1240659163,2093754499,60.50304094,0.038013151,651.1346894,0.081012402,32.91057325,3.433337941,340.148623,2.043713862
13,202.147,52.12982139,0.080541612,0.327881637,271.0516985,2.696485743,6.041517416,5.199785407,806.2795831,95.65957843,97.75258191,5.975138325,1622501483,0.574651926,0.997706624,824.918154,0.752533724,0.706395375,1525209058,1561766098,66.62699591,0.190346674,628.5950004,0.241759637,30.21638543,3.431059015,260.9833202,1.81957553
14,206.781,43.07899886,0.365626583,0.235378637,253.283255,2.744798156,7.173540519,3.808538051,769.5413305,127.0123575,89.14189152,5.808344847,1442956657,0.577511544,0.586264478,776.7613063,0.786746758,0.945548766,1317852642,1537288750,61.89389659,0.00503889,702.8660741,0.139051413,23.05308546,2.890207946,287.5897629,1.485069895
15,182.982,49.39237946,0.026877499,0.055501172,297.8267493,2.888918525,7.664702442,4.088823273,732.335823,102.8848177,117.3329668,6.015561911,1506762022,0.578330255,0.667385604,815.4023931,0.869755282,0.956013009,1178742473,1541096874,70.47647656,0.024845519,677.6035757,0.040850049,24.90776297,2.755876574,284.7986743,1.757390476
16,204.341,54.77929229,0.035959417,0.061790172,309.2926859,3.429522096,6.181028563,3.445711996,743.9766199,115.6434589,92.6134249,6.068324862,1749080356,0.548615907,0.67751449,988.7906084,0.888577393,0.964056673,1231427563,1645671570,61.71359007,0.097546406,636.6121777,0.19252547,34.76523645,3.155012755,273.868469,1.078071796
17,174.81,45.76573649,0.219616746,0.128205339,289.900221,3.595658138,6.449820461,3.640030686,858.3996082,105.1053714,94.54295793,8.261942647,1434352412,0.616334622,0.655817987,899.9256033,0.876864988,0.907980492,1309613201,1774879228,58.94205757,0.174801964,772.1789913,0.148137662,34.83006201,2.29430108,336.2424468,1.209308343
