,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
1,252.154,39,1,0,219,2,6,4,384,94,71,7,1850434413,0.57,1,860,0.67,0,1785591174,2008482403,64,0,548,0,24,1,298,2
2,397.267,43,1,1,280,1,7,3,384,48,110,7,1110271188,0.74,0,0,0.86,1,1242953129,2012887588,49,1,744,1,41,4,193,4
3,190.243,40,0,0,297,3,8,6,727,73,96,9,1492184320,0.74,1,769,0.75,1,1489542912,1815774592,60,1,604,0,29,4,295,1
4,218.759,37,0,0,282,3,7,7,713,67,96,8,1418614656,0.75,1,819,0.78,1,1515846528,1737538304,63,1,521,0,28,4,312,1
5,254.225,36,0,1,298,2,6,4,446,89,82,7,1923296948,0.53,0,0,0.71,0,1814180871,1189122009,69,0,636,0,33,3,159,2
6,274.356,45,0,0,409,2,6,4,384,65,96,9,2053930890,0.5,1,939,0.78,0,2021705510,1671675601,66,1,948,1,27,4,161,3
7,187.626,40,0,0,314,3,7,6,675,83,103,8,1390464896,0.68,1,756,0.79,1,1338915328,1926262912,56,0,603,0,24,4,309,1
8,185.528,39,0,0,347,3,7,5,685,75,101,8,1407788032,0.72,1,787,0.76,1,1574112384,1829104384,58,0,626,0,26,4,299,1
9,451.742,53.31937884,0.407692862,0.408721627,428.5731436,2.61681428,7.441458727,5.989917181,776.8217306,39.17993367,110.5901733,5.960609936,1820950994,0.581948713,0.317771678,790.1742286,0.64378785,0.178195136,1656231737,1205971684,28.47079051,0.742507504,595.6863888,0.8949256,47.34150835,3.024977379,251.3946669,1.390513689
10,219.001,49.43637022,0.140746993,0.060713541,316.0733759,3.317006811,6.989659466,4.231049521,824.4090218,104.698433,112.529415,7.259379319,1557784968,0.605574951,0.760688846,906.3698803,0.869597661,0.877848053,1301664440,1788728320,64.64393437,0.005224782,687.7700187,0.004179881,29.13791409,2.635380174,309.8691124,1.159069315
11,213.914,44.98411555,0.115543176,0.035153645,292.6200683,2.313733228,7.67150086,4.379875165,638.0786765,86.67421001,124.6010273,6.285295355,1091524704,0.863770397,0.821524567,710.4801032,0.730506411,0.816030709,1293218881,1668838054,55.55687062,0.203337347,694.3291708,0.211685019,37.02909948,3.139005754,233.4355691,1.600686296
12,177.01,45.20771535,0.017326838,0.15966062,330.8783499,3.023500221,7.620730626,5.644020626,819.2062914,64.10543644,127.1759144,6.532824552,1431784299,0.805804582,0.913730684,937.1977558,0.695595623,0.835268489,1427193448,2113060220,57.17848407,0.037417189,608.324314,0.079991226,29.95669395,4.701607796,339.1075646,1.90336996
13,209.535,48.25695871,0.058931955,0.423167414,285.7724557,2.432476595,6.642971155,6.611864696,807.3265232,55.4038172,108.9951965,5.258411612,1499096188,0.76489562,0.998293099,852.3185478,0.584107735,0.669701984,1634628533,1860889618,63.97319695,0.211012471,571.3496967,0.303742819,31.04138342,4.871096783,289.4914763,2.437246082
14,247.722,38.01056522,0.259177176,0.310056084,267.9707748,2.465367958,7.440344203,5.221898118,770.7810682,87.91466592,104.4416087,5.092894574,1312350944,0.773942552,0.701874479,812.228392,0.628684857,0.938329457,1416072028,1860910459,56.94172759,0.005648627,632.5774457,0.178804887,23.83678208,4.540046306,308.6935202,1.963286254
15,182.745,45.15791362,0.018422152,0.074685938,312.5975914,2.599401042,7.826053001,5.501925311,733.5105179,62.1702868,121.7739252,5.298525845,1378715143,0.777495711,0.773618979,846.5484402,0.743007163,0.949835002,1286584501,1874531604,66.50097772,0.028193836,601.5573491,0.053863322,25.70215309,4.492885934,308.0279352,2.441522225
16,183.966,51.25641223,0.023786016,0.085011598,324.0849761,3.135959102,6.827109401,4.85940608,744.5836646,75.78391255,108.1607775,5.350885011,1630751348,0.746620724,0.790541476,1001.056562,0.761612488,0.958717411,1357751202,1942940489,55.39104411,0.112176422,555.4013904,0.260818818,35.6164617,4.851523274,302.3820767,1.448993269
17,176.055,41.05220822,0.139928381,0.180473307,304.6562359,3.302011858,7.045983301,5.053545881,858.4159556,64.53964473,110.0238767,7.527715452,1303401637,0.816984525,0.780187324,927.7394983,0.737775516,0.893548706,1435052280,2025695343,51.87301653,0.203958116,695.6456223,0.206612283,35.68166102,4.212975578,342.9969977,1.698271727
