,target,params
0,-309.04738752667663,"{'spark.maxRemoteBlockSizeFetchToMem': 895547838.6182674, 'spark.shuffle.file.buffer': 360.4419222276369, 'spark.speculation.multiplier': 1.0005718740867244}"
1,-308.917858521844,"{'spark.maxRemoteBlockSizeFetchToMem': 649254240.4215239, 'spark.shuffle.file.buffer': 74.23118951773941, 'spark.speculation.multiplier': 1.461692973843989}"
2,-304.3473950485361,"{'spark.maxRemoteBlockSizeFetchToMem': 399990825.4030411, 'spark.shuffle.file.buffer': 173.43480279448082, 'spark.speculation.multiplier': 2.9838373711533497}"
3,-304.3473950485361,"{'spark.maxRemoteBlockSizeFetchToMem': 1157099941.3646433, 'spark.shuffle.file.buffer': 210.1780626872441, 'spark.speculation.multiplier': 4.426097501983797}"
4,-298.21800031033604,"{'spark.maxRemoteBlockSizeFetchToMem': 439057917.320792, 'spark.shuffle.file.buffer': 439.18060075908176, 'spark.speculation.multiplier': 1.1369379659896308}"
5,-304.3473950485361,"{'spark.maxRemoteBlockSizeFetchToMem': 1439817736.5800576, 'spark.shuffle.file.buffer': 209.23509638119637, 'spark.speculation.multiplier': 3.7934491422287584}"
6,-304.3473950485361,"{'spark.maxRemoteBlockSizeFetchToMem': 301478754.93015736, 'spark.shuffle.file.buffer': 99.85264305335451, 'spark.speculation.multiplier': 5.003722843377683}"
7,-304.3473950485361,"{'spark.maxRemoteBlockSizeFetchToMem': 2079325410.4736166, 'spark.shuffle.file.buffer': 157.39866490146218, 'spark.speculation.multiplier': 4.46161307834657}"
8,-318.1407398209206,"{'spark.maxRemoteBlockSizeFetchToMem': 1882030948.9748583, 'spark.shuffle.file.buffer': 447.4087250884198, 'spark.speculation.multiplier': 1.4252210568488897}"
9,-304.3473950485361,"{'spark.maxRemoteBlockSizeFetchToMem': 83869680.52273901, 'spark.shuffle.file.buffer': 85.74537936271989, 'spark.speculation.multiplier': 5.390712517147065}"
10,-301.5135405244996,"{'spark.maxRemoteBlockSizeFetchToMem': 357068811.62249076, 'spark.shuffle.file.buffer': 460.38606585665144, 'spark.speculation.multiplier': 1.626053980456549}"
11,-298.900753492413,"{'spark.maxRemoteBlockSizeFetchToMem': 458253126.3359096, 'spark.shuffle.file.buffer': 458.1012856278338, 'spark.speculation.multiplier': 1.1296433140918933}"
12,-308.917858521844,"{'spark.maxRemoteBlockSizeFetchToMem': 490323717.84452087, 'spark.shuffle.file.buffer': 425.020400341798, 'spark.speculation.multiplier': 1.5083827135141497}"
13,-312.9697052671869,"{'spark.maxRemoteBlockSizeFetchToMem': 307884414.5467836, 'spark.shuffle.file.buffer': 420.813735973222, 'spark.speculation.multiplier': 1.5934149580243833}"
14,-298.900753492413,"{'spark.maxRemoteBlockSizeFetchToMem': 537084986.7927052, 'spark.shuffle.file.buffer': 450.1529805490978, 'spark.speculation.multiplier': 1.1124277962884361}"
15,-300.2690165713326,"{'spark.maxRemoteBlockSizeFetchToMem': 427456164.6769236, 'spark.shuffle.file.buffer': 435.8757861427381, 'spark.speculation.multiplier': 1.251728978026294}"
16,-300.2690165713326,"{'spark.maxRemoteBlockSizeFetchToMem': 598891237.6207912, 'spark.shuffle.file.buffer': 445.5591178989075, 'spark.speculation.multiplier': 1.2324297623580098}"
17,-318.1407398209206,"{'spark.maxRemoteBlockSizeFetchToMem': 435499209.60832554, 'spark.shuffle.file.buffer': 451.11804035682036, 'spark.speculation.multiplier': 1.4485021283300046}"
18,-366.6270597320342,"{'spark.maxRemoteBlockSizeFetchToMem': 388594012.1702332, 'spark.shuffle.file.buffer': 447.4793159762575, 'spark.speculation.multiplier': 1.365044596934164}"
