spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime
2.0,16.0,8.0,6.0,1.0,1.0,424.0,42.0,61.0,8.0,1972983473.0,0.65,1.0,901.0,0.76,0.0,1671062372.0,1517837518.0,56.0,1.0,542.0,1.0,24.0,3.0,480.0,0.87,4.0,327.267
3.0,9.0,8.0,55.0,1.0,1.0,388.0,110.0,66.0,2.0,1228523083.0,0.65,0.0,751.0,0.78,0.0,1354811317.0,1456677666.0,63.0,1.0,892.0,1.0,24.0,5.0,481.0,0.63,3.0,386.425
3.0,15.0,11.0,41.0,1.0,0.0,494.0,115.0,52.0,7.0,1298961797.0,0.9,0.0,578.0,0.54,0.0,2124476684.0,2025712685.0,70.0,1.0,622.0,0.0,32.0,4.0,492.0,0.84,2.0,245.907
4.0,9.0,12.0,5.0,1.0,0.0,410.0,118.0,128.0,4.0,1981190074.0,0.69,1.0,565.0,0.52,0.0,1284573076.0,1701389970.0,58.0,1.0,578.0,0.0,48.0,5.0,368.0,0.72,2.0,279.753
3.0,14.0,12.0,37.0,1.0,1.0,368.0,66.0,45.0,3.0,1924299984.0,0.55,0.0,783.0,0.6,0.0,1912316385.0,1973192089.0,40.0,1.0,944.0,1.0,46.0,3.0,107.0,0.57,6.0,293.227
3.0,10.0,15.0,33.0,1.0,0.0,437.0,32.0,111.0,3.0,1814107170.0,0.53,0.0,628.0,0.85,0.0,1725718806.0,1631572892.0,71.0,0.0,630.0,0.0,47.0,5.0,469.0,0.88,7.0,561.155
4.0,15.0,10.0,50.0,1.0,1.0,351.0,105.0,124.0,7.0,1649012684.0,0.67,0.0,655.0,0.66,1.0,1461904282.0,1918072971.0,52.0,1.0,695.0,1.0,40.0,2.0,392.0,0.63,3.0,270.181
2.0,9.0,11.0,33.0,0.0,0.0,330.0,107.0,39.0,3.0,1908111275.0,0.68,0.0,619.0,0.77,0.0,1289054957.0,1754179335.0,42.0,1.0,536.0,1.0,24.0,4.0,146.0,0.59,6.0,249.81
2.0,9.0,9.0,14.0,1.0,1.0,415.0,100.0,52.0,1.0,1493953702.0,0.68,1.0,512.0,0.73,1.0,1243991070.0,1104084459.0,71.0,1.0,603.0,0.0,18.0,5.0,325.0,0.53,4.0,621.727
2.0,13.0,15.0,25.0,1.0,0.0,470.0,78.0,114.0,3.0,1732732512.0,0.7,0.0,845.0,0.82,1.0,1567301461.0,1974560422.0,38.0,0.0,872.0,1.0,38.0,2.0,217.0,0.75,3.0,205.567
