spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxSizeInFlight,spark.scheduler.revive.interval,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,spark.sql.inMemoryColumnarStorage.batchSize,spark.sql.inMemoryColumnarStorage.compressed,runtime
0.0,0.0,5.0,2.0,415.0,8.0,32.0,0.0,1.0,201.0,62.0,33.0,5.0,1117388153.0,0.71,0.82,0.0,1477201816.0,43.0,674.0,47.0,3.0,217.0,2.0,363.0,7292750.0,9974.0,0.0,1001.0
0.0,0.0,5.0,2.0,487.0,6.0,38.0,0.0,0.0,435.0,62.0,46.0,4.0,1568921588.0,0.73,0.81,0.0,1875512642.0,70.0,849.0,20.0,2.0,226.0,3.0,296.0,12743082.0,11698.0,0.0,870.0
1.0,587.0,3.0,1.0,384.0,8.0,32.0,0.0,1.0,340.0,75.0,60.0,4.0,1098276858.0,0.7,0.71,1.0,1105712448.0,45.0,970.0,32.0,1.0,243.0,2.0,302.0,12446404.0,11815.0,1.0,1061.0
0.0,0.0,4.0,2.0,384.0,7.0,52.0,1.0,0.0,463.0,41.0,33.0,4.0,2053656391.0,0.63,0.53,1.0,1852881926.0,72.0,533.0,46.0,1.0,171.0,3.0,323.0,13537297.0,10068.0,1.0,921.0
1.0,668.0,4.0,2.0,384.0,6.0,50.0,0.0,1.0,410.0,109.0,48.0,4.0,1933012565.0,0.66,0.62,1.0,1159501590.0,49.0,598.0,45.0,1.0,163.0,3.0,353.0,13151499.0,8408.0,0.0,880.0
1.0,799.0,4.0,2.0,384.0,4.0,59.0,1.0,0.0,239.0,112.0,61.0,8.0,1254190951.0,0.7,0.53,1.0,1296967513.0,62.0,683.0,27.0,2.0,192.0,2.0,314.0,8096973.0,9450.0,1.0,859.0
1.0,969.0,5.0,2.0,443.0,8.0,63.0,1.0,1.0,437.0,86.0,75.0,7.0,1710045271.0,0.72,0.82,1.0,1480795600.0,46.0,602.0,44.0,3.0,238.0,3.0,299.0,9249263.0,9193.0,0.0,910.0
1.0,888.0,5.0,2.0,396.0,5.0,45.0,1.0,1.0,452.0,121.0,78.0,9.0,2109716582.0,0.64,0.51,1.0,1838811136.0,46.0,537.0,38.0,2.0,177.0,2.0,278.0,14773434.0,9796.0,0.0,870.0
0.0,0.0,4.0,2.0,384.0,8.0,32.0,1.0,0.0,207.0,115.0,36.0,4.0,2077087015.0,0.63,0.66,0.0,1871058788.0,50.0,511.0,32.0,3.0,159.0,4.0,320.0,13690391.0,10087.0,0.0,773.0
1.0,948.0,4.0,2.0,411.0,8.0,51.0,0.0,1.0,498.0,53.0,85.0,4.0,2127530390.0,0.66,0.76,0.0,2009946593.0,57.0,897.0,34.0,3.0,154.0,3.0,272.0,6818265.0,8822.0,1.0,915.0
1.0,925.0,5.0,2.0,384.0,8.0,54.0,0.0,0.0,342.0,73.0,72.0,8.0,1511039674.0,0.57,0.54,0.0,1428837739.0,53.0,637.0,37.0,2.0,230.0,3.0,308.0,14787950.0,9640.0,0.0,950.0
0.0,0.0,7.0,3.0,521.0,4.0,37.0,1.0,0.0,249.0,120.0,70.0,8.0,1075900408.0,0.72,0.79,0.0,1251125748.0,68.0,865.0,35.0,1.0,163.0,4.0,293.0,11706712.0,11371.0,1.0,698.0
