spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime
1.0,8.0,5.0,58.0,1.0,1.0,333.0,94.0,102.0,3.0,2116555075.0,0.82,0.0,627.0,0.59,1.0,1384118046.0,1342010187.0,62.0,0.0,825.0,0.0,16.0,2.0,357.0,0.8,3.0,363.61
2.0,5.0,6.0,29.0,1.0,0.0,317.0,54.0,111.0,2.0,1201363198.0,0.68,0.0,909.0,0.72,0.0,1566553372.0,1612947292.0,35.0,0.0,706.0,0.0,35.0,1.0,455.0,0.68,7.0,305.966
1.0,6.0,8.0,44.0,1.0,1.0,460.0,100.0,36.0,7.0,1730301904.0,0.72,0.0,804.0,0.88,0.0,1903518590.0,1590020695.0,57.0,0.0,916.0,1.0,36.0,5.0,120.0,0.89,2.0,444.785
4.0,8.0,5.0,34.0,1.0,0.0,419.0,109.0,115.0,1.0,1941473183.0,0.54,0.0,594.0,0.57,1.0,1102835868.0,1841447024.0,45.0,0.0,736.0,0.0,24.0,3.0,133.0,0.79,7.0,212.461
1.0,2.0,7.0,47.0,1.0,0.0,247.0,57.0,34.0,6.0,2131405773.0,0.77,1.0,794.0,0.79,0.0,1724486352.0,1559669431.0,53.0,0.0,672.0,0.0,27.0,4.0,334.0,0.8,6.0,982.968
3.0,7.0,8.0,15.0,0.0,0.0,224.0,125.0,83.0,8.0,1813377407.0,0.79,1.0,981.0,0.61,1.0,2065312747.0,1788898912.0,65.0,0.0,709.0,1.0,45.0,2.0,132.0,0.87,5.0,262.61
4.0,8.0,7.0,34.0,0.0,1.0,338.0,117.0,118.0,3.0,1426417127.0,0.51,0.0,813.0,0.84,0.0,1571414406.0,1922964921.0,54.0,0.0,543.0,0.0,22.0,3.0,206.0,0.75,9.0,488.256
2.0,5.0,6.0,60.0,0.0,0.0,451.0,62.0,80.0,9.0,1556830751.0,0.84,1.0,724.0,0.62,1.0,1218044960.0,1525814903.0,49.0,0.0,717.0,0.0,38.0,4.0,500.0,0.7,1.0,386.719
4.0,2.0,6.0,46.0,0.0,1.0,340.0,81.0,34.0,9.0,1406574541.0,0.77,0.0,1018.0,0.83,0.0,1493488202.0,1592592846.0,63.0,0.0,901.0,0.0,46.0,1.0,304.0,0.57,9.0,305.999
2.0,6.0,8.0,27.0,0.0,0.0,328.0,111.0,68.0,9.0,1920773945.0,0.5,1.0,705.0,0.73,1.0,1933348262.0,1157270793.0,58.0,0.0,610.0,0.0,21.0,1.0,465.0,0.52,8.0,299.714
