spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
1.0,841.0,5.0,2.0,444.0,6.0,49.0,1.0,1.0,302.0,90.0,109.0,4.0,2066034298.0,0.82,0.51,0.0,1257174022.0,1100292191.0,38.0,0.0,795.0,0.0,16.0,1.0,294.0,4.0,2527.769
1.0,833.0,4.0,2.0,485.0,5.0,47.0,1.0,0.0,289.0,57.0,69.0,6.0,1951601658.0,0.67,0.7,0.0,1781112763.0,1351390662.0,24.0,1.0,580.0,0.0,40.0,1.0,198.0,3.0,2592.498
1.0,981.0,4.0,2.0,384.0,7.0,61.0,0.0,1.0,498.0,39.0,127.0,9.0,1789297199.0,0.65,0.59,1.0,1533996767.0,1372648469.0,38.0,0.0,905.0,1.0,19.0,4.0,229.0,3.0,2561.88
1.0,987.0,5.0,2.0,384.0,5.0,61.0,1.0,1.0,252.0,120.0,125.0,9.0,1575929011.0,0.62,0.52,1.0,1525791922.0,1479055265.0,52.0,0.0,676.0,1.0,37.0,1.0,234.0,3.0,2592.84
1.0,647.0,6.0,3.0,425.0,5.0,57.0,0.0,0.0,314.0,93.0,104.0,10.0,1301228539.0,0.58,0.81,0.0,1490644145.0,1393670174.0,31.0,1.0,817.0,1.0,25.0,3.0,195.0,1.0,2511.629
0.0,0.0,6.0,3.0,424.0,6.0,50.0,0.0,0.0,439.0,49.0,110.0,10.0,1964270285.0,0.6,0.86,0.0,2054990904.0,1442044729.0,59.0,0.0,912.0,0.0,24.0,3.0,278.0,3.0,2520.632
0.0,0.0,3.0,1.0,384.0,5.0,38.0,1.0,0.0,474.0,69.0,126.0,6.0,1724077464.0,0.76,0.67,1.0,1278871310.0,1672610881.0,26.0,0.0,962.0,0.0,17.0,1.0,277.0,1.0,2756.692
0.0,0.0,5.0,2.0,447.0,7.0,45.0,1.0,0.0,436.0,122.0,83.0,9.0,1567621158.0,0.67,0.75,1.0,1162492833.0,1534991549.0,50.0,1.0,859.0,1.0,42.0,5.0,250.0,1.0,2557.957
1.0,671.0,4.0,2.0,384.0,6.0,57.0,1.0,1.0,281.0,62.0,34.0,6.0,1954538052.0,0.71,0.65,1.0,1281865632.0,1998945599.0,47.0,0.0,699.0,0.0,21.0,2.0,220.0,4.0,2571.942
1.0,906.0,3.0,1.0,384.0,6.0,57.0,1.0,1.0,455.0,68.0,101.0,6.0,1787442603.0,0.88,0.61,0.0,1832226518.0,1374781297.0,33.0,0.0,950.0,1.0,20.0,3.0,282.0,2.0,2772.287
0.0,0.0,4.0,2.0,469.0,6.0,56.0,1.0,1.0,413.0,96.0,68.0,4.0,1080336005.0,0.58,0.78,1.0,1904960412.0,1753013311.0,39.0,0.0,582.0,1.0,42.0,2.0,217.0,4.0,2601.722
0.0,0.0,5.0,2.0,384.0,8.0,53.0,1.0,0.0,258.0,39.0,49.0,4.0,1701862892.0,0.67,0.62,0.0,1567973934.0,2074774373.0,50.0,1.0,623.0,1.0,19.0,1.0,150.0,2.0,2555.494
