spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime,index
57.44860914,0.578097916,0.097601787,360.337503,2.669396945,7.775952733,4.409150139,592.9128215,65.4468822,115.8688347,4.782768106,1239438234,0.586261577,0.800909454,812.0813345,0.858824221,0.674645737,1519256935,1402830216,58.09212482,0.296785643,825.0054011,0.82211926,40.41388231,2.106138174,181.6557541,0.751743898,1.992046909,198.153,1
43.29939092,0.752060238,0.738221508,446.9813538,3.293094896,4.315072415,4.211907352,572.8244655,48.10893588,81.05579367,5.032678796,1212821863,0.645926124,0.872640058,713.5898278,0.568703044,0.272192834,1993966912,1395814106,35.99961071,0.599987346,503.2900743,0.260667751,26.72142056,4.696600987,282.3291125,0.521835456,1.165049487,274.106,2
38.94887484,0.714187819,0.584702043,214.2235659,1.142392234,7.887675506,6.560669463,520.4673919,89.00186017,122.9085164,7.204145142,2125646771,0.709287192,0.614357539,935.3229156,0.681199774,0.128718582,1222586812,2020283479,65.52558936,0.908766864,533.7048353,0.547793867,37.48912179,4.513387076,279.1697122,0.885511974,3.914354462,390.138,3
51.07478746,0.329690791,0.406893599,374.7978009,2.983518798,4.94003241,6.832478994,472.5561018,40.93328554,33.42114627,4.285310954,1390771778,0.744401854,0.068174963,718.6260403,0.865467427,0.32493467,1381722021,1601162621,63.71701588,0.959218063,877.1805064,0.089303087,30.20477512,1.367330772,256.7331151,0.736456953,3.55207451,281.19,4
49.17428739,0.870266646,0.619423036,400.6185401,3.454497664,4.447726704,6.636697436,408.0718942,83.35689235,108.4556389,5.264769456,1775883624,0.832964378,0.160253438,902.9311836,0.79945935,0.081491951,1154215806,1814210993,26.41551868,0.332356495,999.8835342,0.388210331,35.77578443,2.548313116,264.7357132,0.763749561,3.777185485,275.708,5
40.21297065,0.983820801,0.675594884,278.7823688,3.935838245,6.763528923,5.083532969,428.1377208,73.78578021,37.18640136,7.463593221,1852651415,0.796214026,0.27146446,643.3937828,0.713789379,0.468654855,1397918916,1925921293,60.58225239,0.827689359,697.2160834,0.189956509,33.82486776,4.065818839,216.5799251,0.876731091,3.358858052,197.17,6
53.7399905,0.366612617,0.156413346,346.5520026,3.619187648,5.507357905,3.617823006,609.2021825,36.08014648,124.1353066,9.499815255,1456009870,0.521707083,0.420399903,545.9206016,0.768865578,0.951603354,1074000388,1980949689,24.6585971,0.466264105,743.2270262,0.921898171,23.02983522,3.237400091,337.3986757,0.844831642,2.796767391,203.266,7
55.62454409,0.53371864,0.932045974,302.3260438,3.187918895,6.432408,5.689073322,554.6408237,101.8537662,70.78269139,5.92962727,1128819662,0.563848063,0.394294719,853.3138509,0.722957128,0.575510605,1970716526,1170702374,44.78981759,0.167447561,917.3467853,0.049317702,20.47234488,4.21383474,204.6597056,0.61297228,1.529646371,224.984,8
58.14693041,0.13035072,0.808945806,467.3102272,2.14907544,6.073382796,5.241445784,439.1968495,111.0680397,62.84317688,6.805360263,1421222502,0.518034148,0.337990641,953.4549209,0.538908191,0.183902671,1236345234,1611175844,56.85253682,0.111818888,754.2362081,0.774888516,44.07716202,1.941466412,306.0242501,0.710809102,2.075128981,343.092,9
45.89679799,0.671483103,0.272999084,222.5784084,1.927524982,4.065463785,5.967295911,750.4657813,79.56800483,66.26013789,8.131169462,2035515704,0.689190871,0.048619732,791.182389,0.585227202,0.542256373,1326181814,1759018066,30.22634963,0.747320941,958.718781,0.41536759,45.69779691,1.762262241,237.7576971,0.816456618,2.901318929,366.35,10
