spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime
37,0,0,468,1,5,5,486,35,124,9,1649784154,0.67,0,738,0.79,0,1978810906,1643645414,61,0,742,0,39,2,257,0.5,1,551.126
62,0,0,358,1,4,4,732,70,59,5,1744834097,0.62,0,909,0.56,0,2066383901,1350102061,34,0,921,0,42,2,271,0.54,2,641.5
50,0,0,409,3,4,4,461,49,112,4,1686224537,0.57,0,941,0.64,0,1726140195,1289775299,34,0,533,0,45,4,346,0.66,3,274.35
35,0,0,275,2,7,3,696,99,116,6,1634222105,0.72,0,884,0.67,0,1613942054,1108592079,70,0,706,0,20,4,323,0.77,1,243.013
63,0,0,396,1,7,6,432,104,42,7,1621435153,0.58,0,588,0.85,0,1232042006,1448946483,36,0,805,0,31,2,279,0.51,3,404.591
63,0,0,486,3,7,3,466,123,93,9,1827038473,0.77,0,637,0.67,0,1488608957,1126425045,28,0,516,0,45,1,263,0.72,2,214.132
52,0,0,231,3,5,3,490,32,55,7,2112797468,0.56,0,1019,0.58,0,1578216038,1837882125,43,0,581,0,31,2,219,0.82,3,277.372
50,0,0,243,1,5,6,591,81,61,7,1403407993,0.89,0,816,0.63,0,1493841712,1082720977,64,0,982,0,32,4,219,0.78,3,553.494
41,0,0,435,2,6,4,510,53,92,6,2029601411,0.85,0,615,0.86,0,1137985372,1424896874,49,0,921,0,39,4,341,0.53,2,282.461
63,0,0,350,2,4,6,815,72,79,9,1585162846,0.52,0,802,0.57,0,2037579154,1781766919,28,0,851,0,37,3,225,0.85,2,376.108
61,0,0,490,3,7,3,433,108,91,9,1746102776,0.76,0,665,0.7,0,1569998795,1262353166,27,0,522,0,44,1,238,0.75,2,197.543
59,0,0,479,3,7,3,425,95,100,9,1784634677,0.76,0,631,0.73,0,1667297729,1272609484,25,0,543,0,43,1,257,0.72,2,197.701
60,0,0,484,3,7,3,395,104,100,9,1854512467,0.77,0,667,0.68,0,1673242724,1256925209,26,0,502,0,43,1,245,0.77,2,199.927
60,0,0,463,3,7,3,431,117,95,9,1800558635,0.74,0,695,0.67,0,1524924528,1157935816,26,0,506,0,43,1,254,0.79,2,189.848
59,0,0,450,3,7,3,453,111,97,9,1742971941,0.75,0,722,0.69,0,1449738468,1096956887,25,0,519,0,42,1,253,0.77,2,197.603
59,0,0,468,3,7,3,447,121,92,9,1875729338,0.74,0,690,0.67,0,1567634450,1140831901,25,0,525,0,43,1,248,0.79,2,191.425
59,0,0,468,3,7,3,418,109,97,9,1785393787,0.76,0,689,0.68,0,1592640146,1182818372,25,0,529,0,43,1,259,0.79,2,194.712
59,0,0,453,3,7,3,449,116,99,9,1844671632,0.74,0,711,0.69,0,1468563982,1223711304,25,0,518,0,43,1,261,0.82,2,196.686
59,0,0,469,3,7,3,416,116,94,9,1760787751,0.73,0,678,0.68,0,1528220363,1131320896,26,0,504,0,43,1,250,0.81,2,240.517
59,0,0,476,3,7,3,414,114,92,9,1782106293,0.75,0,681,0.68,0,1476009832,1201896213,26,0,517,0,43,1,247,0.81,2,226.102
60,0,0,457,3,7,3,413,119,90,9,1772345881,0.75,0,675,0.67,0,1524249249,1121606151,26,0,520,0,43,1,260,0.79,2,195.763
60,0,0,468,3,7,3,443,114,91,9,1818621381,0.73,0,680,0.66,0,1503337679,1140498035,26,0,517,0,43,1,248,0.78,2,195.649
60,0,0,456,3,7,3,435,117,91,9,1775992833,0.73,0,699,0.68,0,1511886690,1192336328,26,0,509,0,43,1,248,0.78,2,200.695
60,0,0,461,3,7,3,421,116,94,9,1831147192,0.75,0,694,0.68,0,1525286616,1170526313,26,0,502,0,43,1,250,0.78,2,218.848
60,0,0,462,3,7,3,419,119,93,9,1801528087,0.74,0,691,0.66,0,1550743820,1137028802,26,0,506,0,43,1,257,0.78,2,228.399
60,0,0,470,3,7,3,423,116,96,9,1805039706,0.74,0,691,0.67,0,1510148941,1156374842,26,0,500,0,43,1,255,0.79,2,195.754
60,0,0,461,3,7,3,421,114,92,9,1773486190,0.73,0,699,0.67,0,1510469620,1174488676,26,0,511,0,43,1,257,0.8,2,214.065
