spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime,index
38.19915424,0.561140453,0.64956855,308.4697645,2.940593183,6.767121646,4.6123528,425.8722065,35.60093294,86.02003034,9.486944862,1593104168,0.847810834,0.414957449,787.5729218,0.817475527,0.40443781,1417888655,1126542945,29.5123039,0.231737125,996.5307263,0.876281143,39.7118999,3.645203419,168.0857694,0.823141887,1.75554443,203.99,1
41.27166882,0.950344415,0.450075555,334.072185,2.650003965,6.352548722,4.004781407,560.0308154,115.9788317,107.5361388,7.257078589,1860915841,0.552461352,0.55463618,909.2139313,0.733349734,0.398454434,2146230444,1963114787,28.42032922,0.326831437,553.4302921,0.458947611,21.19512173,3.387700557,281.8823425,0.525012507,2.078236349,226.58,2
48.5263784,0.042393463,0.006580019,258.6622438,3.699132258,4.785248701,4.402361622,582.9911616,73.48474091,34.05888282,6.349747442,1678878481,0.629934048,0.811367496,965.7282062,0.537291962,0.561180347,1311563140,1778258527,57.67531367,0.73582013,786.6200477,0.068502602,28.21231988,1.609069143,292.929519,0.779998802,2.93043726,220.791,3
57.93339961,0.443536267,0.229590142,405.8906886,1.869863279,7.47920973,3.284848874,642.5619562,123.2426157,52.85360401,9.214843804,1447437662,0.878070777,0.36214458,607.2252922,0.590506257,0.642719935,1236774994,1397035410,44.95476149,0.029794991,749.2340251,0.542822285,42.6689343,4.600199767,188.9456709,0.659539177,1.514210726,260.961,4
56.59947703,0.81113084,0.947939459,274.1564302,2.073720122,7.746927683,5.182469339,702.6970069,95.87738083,124.1272946,5.619724681,1358990346,0.739071928,0.68764903,869.0614198,0.692638712,0.183341841,1825887955,1371050442,48.42465173,0.988748694,902.0324264,0.930076922,32.9961083,2.963834007,229.5293835,0.575162487,2.406775333,252.935,5
43.75408293,0.193688092,0.385901959,351.6156442,1.122513909,5.895390081,6.742530739,800.0034536,53.33540207,66.96276567,4.505356157,1815731119,0.784756522,0.96903885,513.6976565,0.64180512,0.217687259,1699578513,2146708550,70.69064437,0.195109789,687.4742284,0.136426489,35.80299854,2.507036304,263.9687615,0.722062102,1.132900979,481.726,6
33.63592451,0.632030621,0.118676021,422.6031056,3.304008105,5.574320363,6.189201886,748.3446043,45.24534024,78.54612603,8.448959409,1269283322,0.664985746,0.15584627,733.0208037,0.838621512,0.007550759,1566533527,1619012502,36.98735324,0.46024004,501.8143647,0.734136667,25.32443864,4.490086416,204.2195742,0.663097666,2.689312783,294.664,7
47.40344153,0.361771037,0.819092735,462.6144036,1.51506638,4.888851559,5.728262713,496.8675443,108.3501619,89.81611077,6.619119708,1180200639,0.755163745,0.28334896,710.5803027,0.884235796,0.909232262,1086693756,1210722141,39.67528708,0.586283967,897.9474351,0.243565922,47.80796494,1.036544623,325.5213491,0.816364024,3.486583982,311.616,8
53.17715618,0.757559567,0.571367108,228.431928,2.405393081,4.301437917,3.40075672,463.1718646,86.7986145,111.2647313,4.659665329,1955299961,0.536111013,0.745662353,635.481105,0.558289693,0.823880287,1762838577,1513542894,56.58903149,0.636623486,843.8813941,0.30255981,16.41591944,2.164992733,349.8076001,0.611827892,3.162664728,354.609,9
62.86332667,0.223836979,0.718918916,480.3832659,3.972670572,7.146762836,6.261354019,827.9428225,61.21988547,45.88841892,7.806703609,2043873508,0.603855337,0.022350052,994.2257621,0.746876255,0.728648874,1972585162,1926053128,66.73305096,0.898273639,622.3336408,0.686756727,29.20560239,3.811112575,244.6681887,0.869053137,3.712693619,176.924,10
